Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
941600;4260185811006;dtf;Blumen- & Pflanzerde torffrei;D;;1;15l;2;4,03;6,99;3;3,85;;;1l;0,067
941610;;dtf;Aussaat-& Kräutererde torffrei;D;;1;15l;2;4,4;7,59;3;4,2;;;1l;0,05
941620;4260185811204;dtf;Blumen-& Pflanzerde torfreduz.;D;;1;20l;2;4,09;6,99;3;3,91;;;1l;0,067
941630;4260185811211;dtf;Blumen-& Pflanzerde torfreduz.;D;;1;50l;2;7,03;11,99;3;6,72;;;1l;0,02
942300;4260012642483;BIN;VB Holz-Warenständer Single;D;;1;Ständer;2;60;;;;;;;1
942310;4260012642490;BIN;Hakenleiste;D;;1;St;2;6,5;;;;;;;1
942990;4260012643213;BIN;Postkarten-Etui Blütenbesuch;D;C%;5;Karton;2;3,21;;;;;;Karton;0,2
943010;4260012643305;BIN;Leidenschaftlich Gärtnern;D;;1;30 St;2;0;;;;;;;1
943040;4260012643183;BIN;VB Holz-Warenständer Duo;D;;1;Ständer;2;72;;;;;;;1
943170;4260012643480;BIN;Plakat A2 Bingenheimer;D;;1;St;2;0;;;;;;;1
943430;4260012643947;BIN;VB Kiste für Steckzwiebeln;D;;1;St;2;15,85;;;;;;;1
943710;4260012644210;BIN;VB Tischdisplay für 12 Sorten;D;;1;St;2;6,99;;;;;;;1
943730;4260012644609;BIN;Leidenschaftlich Gründüngen;D;;10;St;2;0;;;;;;;1
944509;;NEU;Zapfset für 10l Partyfaß;D;;1;Set;2;5,9;8;;;;;;1
945186;4901427918649;WUR;Kreidemarker, 6mm;D;;1;St;2;3,5;;;;;;;1
945700;;blv;Gemüseschilder Bioland;D;;5;St;2;3,3;;;;;;;1
945710;;ELK;Gemüseschilder für Euch nah!;D;;5;St;2;2,19;;;;;;;1
945720;;blv;Gemüseschilder ohne Eindruck;D;;5;St;2;3,3;;;;;;;1
945865;;ELK;Anti-AKW-Button;D;;10;St;2;0,5;;;;;;;1
945875;;ELK;Anti-AKW-Aufkleber;D;;10;St;2;0,5;;;;;;;1
945960;;ELK;VB Schutzglocke f. Verkostung;D;;1;Glocke;2;30,65;;;;;;;1
946505;;ISK;Paperlike 30x30cm 2000Blatt;D;;1;Karton;2;42,5;;;;;;;1
946525;;ISK;Paperlike 30x42cm 2000Blatt;D;;1;Karton;2;59,9;;;;;;;1
946703;4000915060171;ISA;Becher mit Deckel 250ml;D;;200;St;2;0,08;;;;;;;1
946718;4000915060188;ISA;Becher mit Deckel 500ml;D;;200;1 St;2;0,11;;;;;;;1
947020;;div;Friedensfahne;D;;1;St;2;6;;;;;;;1
947404;4019427799943;NWR;Natur Eierfarben;D;##;20;Tüte;2;1,6;2,79;;;;;;1
948050;;ELK;Prospekthänger mit Clips DINA6;D;##;1;St;2;2;;;;;;;1
948070;;ELK;Poster Erdbeeren;D;##;1;Plakat;2;5;;;;;;;1
948090;;ELK;Poster Grillen;D;##;1;Plakat;2;5;;;;;;;1
948100;;ELK;Imageplakat mit Kuhmotiv;D;##;1;St;2;0;;;;;;;1
948150;;ELK;Produktplakat mit Milchmädchen;D;##;1;St;2;0;;;;;;;1
948160;;ELK;Klapp-Regalreiter Für Euch nah;D;##;1;5 St;2;0;;;;;;;1
948165;;GLM;Regalstopper Heumilch Tetra;D;##;1;Stück;2;0;;;;;;;1
948200;;ELK;Bruderhahnfolder Endverbrauche;D;;25;St;2;0;;;;;;;1
948210;;ELK;Bruderhahn Bestellkarte;D;;25;St;2;0;;;;;;;1
948250;;ELK;Bruderhahn Initiative Folder;D;##;25;St;2;0;;;;;;;1
948260;;ELK;Bruderhahn Plakat DIN A4;D;;1;St;2;0;;;;;;;1
948310;;ELK;L-Aufsteller DIN A4 Hochformat;D;;1;St;2;3,18;;;;;;;1
948320;;ELK;Prospektständer DIN lang;D;;1;St;2;2,17;;;;;;;1
