Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
3017;4026367000176;UBM;fettarme Upländer Tetrapack;D;DB;10;1l;1;0,94;1,25;30;0,93;;;;1
3018;4026367000169;UBM;VB 1/2L Upländer Vollmilch;D;DB;10;0,5l;1;0,63;0,85;;;;;1l;2
3024;8711521010363;SÖB;frische Ziegenmilch;NL;EG;4;0,5l;1;1,55;2,29;;;;;1l;2
3028;;lha;VB frische Schafmilch;D;DB;1;0,5l;1;2,58;3,49;;;;;1l;2
3031;4260284213404;DFL;demeter Heu-Milch 3,8%;D;DD;6;1l;1;1,29;1,59;;;;;;1
3034;4250017303076;DFL;VB Heumilch Bioland 3,8% ELOP.;D;DB;10;1l;1;1,04;1,39;;;;;;1
3035;4104060031533;AND;VB 1,5% H-Ziegen-Milch;D;C%;12;1l;1;1,98;2,89;;;;;;1
3036;4104060031526;AND;H-Ziegen-Vollmilch 3,0%;D;DB;12;1l;1;2,08;2,99;;;;;;1
3041;;lin;VB Vorzugsmilch demeter;D;DD;6;1l;1;1,72;2,4;;;;;;1
3052;4008471500087;SÖB;DEMETER-Vollmilch (Söbbeke);D;DD;6;1l;1;1,16;1,55;18;1,14;30;1,12;;1
3053;4101530007401;BGL;H-Milch 3,5% laktosefrei;D;DN;12;1l;1;1,28;1,69;;;;;;1
3054;4101530007418;BGL;H-Milch 1,5% laktosefrei;D;DN;12;1l;1;1,19;1,59;;;;;;1
3055;4008471499947;SÖB;Laktosefreie Bio-H-Milch 1,5%;D;DB;12;1l;1;1,44;1,95;;;;;;1
3057;4101530002505;BGL;Bio-H-Milch 3,5% (BGL);D;DN;12;1l;1;1,02;1,35;120;1;;;;1
3058;4101530002567;BGL;fettarme Bio-H-Milch 1,5%(BGL);D;DN;12;1l;1;0,94;1,25;120;0,92;;;;1
3061;4026367000206;UBM;Vanille-Milch  3,5% Fett;D;DB;10;200ml;1;0,49;0,75;;;;;100ml;0,5
3062;4026367000190;UBM;Schoko-Milch 3,5% Fett;D;DB;10;200ml;1;0,49;0,75;;;;;100ml;0,5
3063;4026367000268;UBM;VB Schul-Milch natur 3,7% Fett;D;DB;10;200ml;1;0,33;0,45;;;;;100ml;0,5
3070;4008471499893;SÖB;Laktosefreie Bio-H-Milch 3,5%;D;DB;12;1l;1;1,58;2,09;;;;;;1
3071;4017194009227;SBG;Vanille Fresh Demeter;D;DD;6;0,5l;1;1,1;1,59;;;;;1l;2
3072;5411188113911;PRV;VB Frühstückssojajog. Vanille;B;C%;4;750g;1;2,19;3,19;;;;;1kg;1,333
3073;5411188112143;PRV;VB Frühstückssojajoghurt Natur;B;C%;4;750g;1;1,85;2,79;;;;;1kg;1,333
3074;4017194009210;SBG;Schwedenmilch Demeter;D;DD;6;0,5l;1;1,09;1,59;;;;;1l;2
3075;4017194009319;SBG;Buttermilch Demeter;D;DD;6;0,5l;1;0,88;1,29;;;;;1l;2
3076;5411188111030;PRV;VB Jogh.-alterna. Orange-Rooib;B;C%;6;500g;1;1,88;2,89;;;;;1kg;2
3077;4017194009388;SBG;0,5L-Schlagsahne Schrozb. 32%;D;DD;6;0,5l;1;2,36;3,19;;;;;1l;2
3086;4008471496304;ELK;1L-Natur-Joghurt, gerührt;D;DB;6;1l;1;1,48;2,19;;;;;;1
3087;5411188105268;PRV;Joghurtaltern. Limone-Melisse;B;C%;6;500g;1;1,88;2,89;;;;;1kg;2
3088;5411188100201;PRV;Joghurtalternative Heidelbeere;B;C%;6;4 x 125g;1;1,9;2,89;;;;;1kg;2
3089;5411188097358;PRV;Jogh.-alterna. Himbeer-Vanille;B;C%;6;4 x 125g;1;1,9;2,89;;;;;1kg;2
3090;5411188080732;PRV;Jogh.-altern. natur o. Zucker;B;C%;6;4 x 125g;1;1,39;2,09;;;;;1kg;2
3092;5411188080749;PRV;Jogh.-alterna. Pfirsich Mango;B;C%;6;4 x 125g;1;1,9;2,89;;;;;1kg;2
3093;5411188080282;PRV;Jogh.-altern. natur o. Zucker;B;C%;6;500g;1;1,37;2,09;;;;;1kg;2
3096;5411188553489;PRV;Jo.-alt. Waldfrüchte/Beerenmix;B;C%;6;500g;1;1,88;2,89;;;;;1kg;2
3097;5411188093510;PRV;Joghurtalternative Vanille;B;C%;6;500g;1;1,88;2,89;;;;;1kg;2
3098;5411188103417;PRV;Joghurtalternative Heidelbeere;B;C%;6;500g;1;1,88;2,89;;;;;1kg;2
3104;4008471500179;SÖB;1L-Natur-Joghurt, gerührt;D;DB;6;1l;1;1,55;2,29;;;;;;1
3108;4008471501015;SÖB;1L-Molkedrink pur;D;DB;6;1l;1;1,26;1,79;;;;;;1
3121;4008471497042;SÖB;Zitronen Creme-Joghurt 7,5%;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3122;4104060011269;AND;Andechser Buttermilch;D;DB;6;0,5l;1;0,69;0,99;;;;;1l;2
3129;8711521010370;SÖB;Ziegen-Joghurt 0,5L;NL;EG;4;0,5l;1;1,81;2,69;;;;;1l;2
3131;4008471505006;SÖB;ABC-Ferment Aktiv 3,7%;D;DB;6;500g;1;1,14;1,69;;;;;1kg;2
3132;4008471507932;SÖB;Stracciatella Creme-Joghurt;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3134;4008471507970;SÖB;Erdbeer Creme-Joghurt 7,5%;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3136;4008471507031;SÖB;Vanille Pudding;D;DB;6;150g;1;0,46;0,69;;;;;100g;0,667
3137;4008471507024;SÖB;Schoko Pudding;D;DB;6;150g;1;0,46;0,69;;;;;100g;0,667
3139;4101530007456;BGL;Frucht & Knusper Banane;D;DN;10;150g;1;0,6;0,89;;;;;100g;0,667
3142;4008471507925;SÖB;Himbeere Creme-Joghurt;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3143;4008471507901;SÖB;Kokos Creme-Joghurt;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3145;;BGL;Alpenzwerg Erdbeer u.Banane;D;DN;10;200g;1;0,73;1,09;;;;;100g;0,5
3146;4101530006718;BGL;Alpenzwerg Himbeere u.Vanille;D;DN;10;200g;1;0,73;1,09;;;;;100g;0,5
3147;4101530002154;BGL;Kefir 1,5% demeter;D;DD;8;400g;1;0,71;1,09;;;;;1kg;2,5
3149;4101530002826;BGL;Frucht & Knusper Himbeere;D;DN;10;150g;1;0,6;0,89;;;;;100g;0,667
3152;4101530001836;BGL;Sort.II Berchtesg.Fruchtjogh.;D;DN;10;150g;1;0,39;0,59;;;;;100g;0,667
3154;4101530002802;BGL;Frucht & Knusper Vanillejogh.;D;DN;10;150g;1;0,57;0,85;;;;;100g;0,667
3156;4101530007494;BGL;Alpenzwerg Frucht&Knusper Van.;D;DN;10;137g;1;0,6;0,89;;;;;100g;0,667
3157;4101530008132;BGL;Bioghurt Demeter, gerührt;D;DD;10;150g;1;0,34;0,49;;;;;100g;0,667
3158;4008471503996;SÖB;Söbbeke Vanille-Joghurt;D;DB;6;500g;1;1,36;1,99;;;;;1kg;2
3159;4008471503972;SÖB;Söbbeke Haselnuss-Joghurt;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3161;4008471503002;SÖB;Magermilchjoghurt 0,3% Fett;D;DB;6;500g;1;0,84;1,25;;;;;1kg;2
3162;4008471500186;SÖB;Joghurt Natur im Becher;D;DB;10;150g;1;0,29;0,44;;;;;100g;0,667
3163;4008471500148;SÖB;Joghurt natur 1,5%, gerührt;D;DB;6;500g;1;0,91;1,29;;;;;1kg;2
3164;4104060011245;AND;Andechser DEMETER Naturj.;D;DD;6;500g;1;1,18;1,75;;;;;1kg;2
3165;4104060012211;AND;Andechser Joghurt 0,1%;D;DB;6;500g;1;1,02;1,49;;;;;1kg;2
3166;4104060000065;AND;Andechser Naturjoghurt;D;DB;6;500g;1;1,16;1,69;;;;;1kg;2
3167;4008471496311;ELK;Joghurt natur 1,5%, gerührt;D;DB;6;500g;1;0,74;1,09;;;;;1kg;2
3168;4008471500124;SÖB;Söbbeke Naturjoghurt,stichfest;D;DD;6;500g;1;1,12;1,69;;;;;1kg;2
3169;4008471500117;SÖB;Joghurt natur 5L 3,7%;D;C%;5;kg;1;1,5;;50;1,47;;;;1
3170;4008471504504;ELK;Bioland-Naturjoghurt, gerührt;D;DB;6;500g;1;0,79;1,15;;;;;1kg;2
3171;4101530001133;BGL;Sort.I Berchtesg.Fruchtjoghurt;D;DN;10;150g;1;0,39;0,59;;;;;100g;0,667
3173;4008471497103;SÖB;Blaubeere-Cassis Joghurt;D;DB;6;500g;1;1,36;1,99;;;;;1kg;2
3174;4008471503934;SÖB;Fruchtjoghurt Pfirsich-Marac.;D;DB;6;500g;1;1,36;1,99;;;;;1kg;2
3175;4017194464286;ELK;Demeter-Naturjoghurt, gerührt;D;DD;6;500g;1;0,84;1,39;;;;;1kg;2
3178;4101530002116;BGL;Bioghurt laktosefrei;D;DN;10;150g;1;0,37;0,55;;;;;100g;0,667
3179;4101530002109;BGL;VB Bioghurt Vanille laktosefr.;D;DN;10;150g;1;0,45;0,68;;;;;100g;0,667
3180;4101530001485;BGL;VB Bioghurt Himbeere laktosefr;D;DN;10;150g;1;0,45;0,68;;;;;100g;0,667
3181;4101530001492;BGL;Schlagrahm laktosefrei 30% F;D;DN;10;200g;1;0,73;1,09;;;;;100g;0,5
3182;4104060011030;AND;Mango-Vanille-Joghurt;D;DB;6;500g;1;1,55;2,29;;;;;1kg;2
3183;4104060000058;AND;Vanille-Joghurt;D;DB;6;500g;1;1,55;2,29;;;;;1kg;2
3185;4104060028250;AND;VB Joghurt Heidelbeer-Cassis;D;DB;6;500g;1;1,55;2,29;;;;;1kg;2
3187;4008471492825;SÖB;Rahmjoghurt natur 10% Fett;D;DD;6;500g;1;1,08;1,59;;;;;1kg;2
3190;4104060011184;AND;VB Joghurt Himbeer-Holunder;D;DB;6;500g;1;1,55;2,29;;;;;1kg;2
3191;4104060029806;AND;Pfirsich-Joghurt Demeter;D;DD;6;500g;1;1,66;2,49;;;;;1kg;2
3194;4104060011863;AND;Andechser Rahmjoghurt Straccia;D;DB;6;500g;1;1,43;2,09;;;;;1kg;2
3195;4008471504009;SÖB;Fruchtjoghurt Sanddorn-Orange;D;DB;6;500g;1;1,42;2,09;;;;;1kg;2
3196;4104060026942;AND;Joghurt Milchschokolade 7,5%;D;DB;6;500g;1;1,43;2,09;;;;;1kg;2
3197;4017194462091;ELK;Joghurt natur 1,8%, gerührt;D;DD;6;500g;1;0,81;1,29;;;;;1kg;2
3201;4101530003205;BGL;Bio-Quark Erdbeer;D;DN;8;200g;1;0,71;1,05;;;;;100g;0,5
3205;4101530002833;BGL;Bio-Quark Heidelbeer;D;DN;8;200g;1;0,71;1,05;;;;;100g;0,5
3208;4101530007425;BGL;Bio-Quark Pfirsich-Maracuja;D;DN;8;200g;1;0,71;1,05;;;;;100g;0,5
3209;4101530001171;BGL;0,2% Topfen Piding (Magerqu.);D;DN;12;250g;1;0,71;1,05;;;;;100g;0,4
3210;4101530008149;BGL;0,2% Magerquark laktosefrei;D;DN;8;250g;1;0,86;1,29;;;;;100g;0,4
3212;4028332003816;WMF;VB Weißenhorner Sahne-Creme;D;DB;1,5;kg;1;11,15;17,5;;;;;;1
3213;4101530002598;BGL;Bio-Quark Vanille 10% F.i.Tr.;D;DN;8;200g;1;0,7;1,05;;;;;100g;0,5
3214;4008471500247;SÖB;500g-Quark, mager im Becher;D;EG;8;500g;1;1,47;2,19;;;;;1kg;2
3215;4008471500254;SÖB;250g-Quark, mager im Becher;D;EG;8;250g;1;0,89;1,29;;;;;100g;0,4
3216;4008471500261;SÖB;20%! 250g-Quark im Becher;D;EG;8;250g;1;1;1,49;;;;;100g;0,4
3217;4028332003809;WMF;Weißenhorner Kräuter-Creme;D;DB;1,5;kg;1;11,15;16,7;;;;;;1
3218;4008471500278;SÖB;40%! 250g-Quark im Becher;D;EG;8;250g;1;1,07;1,59;;;;;100g;0,4
3219;4028332320128;WMF;Weißenhorner Sahne-Creme;D;DB;6;150g;1;1,46;2,25;;;;;100g;0,667
3220;4028332320111;WMF;Weißenhorner Kräuter-Creme;D;DB;6;150g;1;1,44;2,25;;;;;100g;0,667
3221;4028332320135;WMF;Weißenhorner Paprika-Creme;D;DB;6;150g;1;1,45;2,25;;;;;100g;0,667
3222;4028332320142;WMF;Weißenhorner Meerrettich-Creme;D;DB;6;150g;1;1,45;2,15;;;;;100g;0,667
3226;;lin;Lindenhof Demeter Quark 45%;D;DD;6;500g;1;2,69;3,99;;;;;1kg;2
3235;4026367061573;ELK;Schlagsahne im Becher 32%;D;DB;10;200g;1;0,82;1,19;;;;;100g;0,5
3237;4101530001188;BGL;Speisequark, Topfen 20%;D;DN;12;250g;1;0,75;1,09;;;;;100g;0,4
3239;4101530001843;BGL;Piding Kräuterquark 40%;D;DN;8;200g;1;0,79;1,15;;;;;100g;0,5
3240;4101530000464;BGL;Cremiger Bio-Quark 0,2%;D;DN;12;350g;1;0,82;1,19;;;;;1kg;2,857
3241;4017194470027;SBG;Magerquark im Glas Demeter;D;DD;6;500g;1;1,39;1,99;;;;;1kg;2
3246;4104060010965;AND;Andechser fettarmer Jogh, 1,8%;D;DB;6;500g;1;1,14;1,69;;;;;1kg;2
3247;4008471506805;SÖB;VB Fruchtjog. Blaubeere Becher;D;DB;10;150g;1;0,5;0,75;;;;;100g;0,667
3248;4104060012150;AND;Rahmjoghurt Mango-Vanille 10%;D;DB;6;150g;1;0,56;0,85;;;;;100g;0,667
3249;4104060025631;AND;Sahnepudding Vanille 10%;D;DB;10;150g;1;0,59;0,89;;;;;100g;0,667
3250;4104060025624;AND;Sahnepudding Schokolade 10%;D;DB;10;150g;1;0,59;0,89;;;;;100g;0,667
3252;4026367002644;UBM;Cr?me Fraîche 30% Fett;D;DB;10;150g;1;0,75;1,09;;;;;100g;0,667
3253;8005020009219;ÖMA;Tiramisu - Cafe-Dessert;I;C%;6;90g;1;1,16;1,89;;;;;100g;1,111
3254;4026913155039;ÖMA;Tee u. Kaffeesahne 10% Bioland;D;DB;12;165g;1;0,89;1,29;;;;;100g;0,606
3258;4000915101027;ISA;Sahne Schmelzkäse Zubereitung;D;C%;10;175g;1;2,2;3,19;;;;;100g;0,571
3263;4008471503842;SÖB;VB Fruchtj.Pfirsich-Marac. Bec;D;DB;10;150g;1;0,45;0,69;;;;;100g;0,667
3264;4008471503835;SÖB;Fruchtjoghurt Vanille Becher;D;DB;10;150g;1;0,45;0,69;;;;;100g;0,667
3265;4008471506850;SÖB;VB Fruchtjoghurt Himbeere Bech;D;DB;10;150g;1;0,45;0,69;;;;;100g;0,667
3270;4026367001579;UBM;Schlagsahne 32% Fett;D;DB;10;200g;1;0,86;1,25;;;;;100g;0,5
3271;4101530002840;BGL;0,5l-Schlagsahne Naturland 32%;D;DN;12;0,5l;1;1,93;2,79;;;;;1l;2
3272;4008471503828;SÖB;VB Fruchtjoghurt Erdbeere Bech;D;DB;10;150g;1;0,45;0,69;;;;;100g;0,667
3273;4026367002040;UBM;Schmand 24% Fett;D;DB;10;200g;1;0,95;1,39;;;;;100g;0,5
3274;4008471500483;SÖB;Söbbeke Creme Fraiche 30% Fett;D;DB;10;150g;1;0,73;1,09;;;;;100g;0,667
3275;4026367002019;UBM;VB 5L Schmand 24% Fett;D;DB;5;kg;1;4,52;;;;;;;1
3276;4026367062044;ELK;Schmand 24% Fett;D;DB;10;200g;1;0,92;1,35;;;;;100g;0,5
3277;4026367002514;UBM;VB 5L Sauerrahm 10% Fett;D;DB;5;kg;1;3,27;;;;;;;1
3278;4026367002545;UBM;Sauerrahm 10% Fett;D;DB;10;150g;1;0,54;0,79;;;;;100g;0,667
3279;4026367062549;ELK;Sauerrahm 10% Fett;D;DB;10;200g;1;0,6;0,89;;;;;100g;0,5
3282;4008471500407;UBM;5L Sahne Bioland 32%;D;DB;5;l;1;4,08;;50;3,98;;;;1
3284;4017194009418;SBG;Schlagsahne 32% demeter;D;DD;6;250g;1;1,43;1,99;;;;;100g;0,4
3285;4101530002529;BGL;Demeter-Schlagrahm BGL 32%;D;DD;10;200g;1;0,87;1,19;;;;;100g;0,5
3290;4101530008101;BGL;VB Schlagrahm 32% Tetra Top;D;DD;8;250g;1;1,03;1,49;;;;;100g;0,5
3291;4104060012174;AND;Rahmjoghurt Kirsche;D;DB;6;150g;1;0,56;0,85;;;;;100g;0,667
3292;4101530001850;BGL;Demeter-Sauerrahm 10% Fett;D;DD;10;200g;1;0,6;0,89;;;;;100g;0,5
3297;4101530002543;BGL;Cr?me Fraîche BGL, Demeter 32%;D;DD;10;150g;1;0,77;1,09;;;;;100g;0,667
3299;;SBG;VB 5L Cr?me Fraîche 32%;D;DD;5;kg;1;3,68;;;;;;;1
3305;4008471502159;SÖB;Söbbeke Sauerrahmbutter;D;EG;10;250g;1;2,13;2,79;;;;;100g;0,4
3307;5701975111115;TMJ;VB dänische Butter, ungesalzen;DK;EG;10;250g;1;2,1;2,79;;;;;100g;0,4
3309;5701975001225;TMJ;dänische, gesalzene Butter;DK;EG;10;250g;1;2,1;2,79;;;;;100g;0,4
3310;4101530001812;BGL;BGL-Alpen-Butter;D;DN;16;250g;1;2,43;3,29;;;;;100g;0,4
3313;4260123055707;ÖMA;Demeter Butter, Sauerrahm;D;DD;16;250g;1;2,69;3,59;;;;;100g;0,4
3314;4026913113404;ÖMA;Fassbutter Sauerrahm Allgäu;D;DB;16;250g;1;2,42;3,19;;;;;100g;0,4
3316;4026367005010;UBM;10kg Butter;D;DB;10;kg;1;9,16;;50;8,93;;;;1
3317;4260284213824;GLM;"Sauerrahmbutter ""feine Linie""";D;DN;16;250g;1;2,35;2,99;;;;;100g;0,4
3318;4260284213817;GLM;"Süßrahmbutter ""feine Linie""";D;DN;16;250g;1;2,32;2,99;;;;;100g;0,4
3320;4104060029080;AND;Ziegenbutter;D;DB;6;125g;1;2,26;2,99;;;;;100g;0,8
3322;4028108141131;BDH;VB Butendiek. Vierjahreszeiten;D;DB;6;150g;1;1,19;1,79;;;;;100g;0,667
3324;4026367005102;UBM;Upländer Butter aus Süßrahm;D;DB;12;250g;1;2,25;2,99;;;;;100g;0,4
3326;4026367005027;UBM;Upländer 2kg Rollenbutter;D;DB;2;kg;1;10,72;;;;;;;1
3327;4026367005201;UBM;125g Upländer Süßrahm-Butter;D;DB;10;125g;1;1,32;1,79;;;;;100g;0,8
3330;4104060025822;AND;VB Schichtkäse handgeschöpft;D;DB;6;500g;1;2,3;3,29;;;;;1kg;2
3331;4260028360425;REA;Bioreal Bio-Hefe, frisch;D;C%;12;42g;1;0,35;0,55;;;;;100g;2,381
3332;4002824150905;LAN;Chia Kokos Streichfett;D;C%;12;250g;1;2,1;3,19;;;;;1kg;2
3334;;REA;VB Bioreal Bio-Hefepaste 1kg;D;C%;6;1kg;1;4,97;;;;;;;1
3335;4260028361125;REA;VB Bioreal Bio-Hefepaste;D;C%;12;1kg;1;4,97;;;;;;;1
3337;4002724000775;ALS;Bio-Alsan Margarine;D;C%;16;250g;1;0,92;1,35;32;0,89;160;0,87;100g;0,4
3338;;LAN;Stangen-Margarine Fauser;D;C%;1;2,5kg;1;9,5;;;;;;1kg;0,4
3339;4002824152107;LAN;Landkrone Pflanzliches Schmalz;D;C%;8;125g;1;1,54;2,35;;;;;100g;0,8
3340;4002824150561;LAN;Landkrone Bio Margarine;D;C%;12;250g;1;1,4;2,15;;;;;100g;0,4
3341;4002824150608;LAN;Landkrone Bio Olive Margarine;D;C%;12;250g;1;1,64;2,49;;;;;100g;0,4
3344;4002824153401;LAN;Landkrone Back Bio Margarine;D;C%;8;500g;1;2,19;3,39;;;;;1kg;2
3345;4002824150530;LAN;Landkrone Bio Palm;D;C%;12;250g;1;1,39;2,09;;;;;100g;0,4
3348;5410093135384;PRV;Soja Margarine Provamel;B;C%;8;250g;1;1,23;1,79;;;;;100g;0,4
3350;4024297221586;NAT;NATURAVIT Kokosfett kba;D;EG;12;250g;1;2;3,09;;;;;100g;0,4
3351;4024297221548;NAT;3kg Kokosfett Naturata kba;RP;EG;1;3kg;1;21,17;;;;;;1kg;0,333
3354;;LAN;VB kba - Meistertraum Back;D;C%;10;kg;1;3,2;;;;;;;1
3355;4002824150875;LAN;Bio Kokosöl nativ;D;C%;6;200g;1;2,59;3,99;;;;;100g;0,4
3356;4002824150882;LAN;Bio Kokosöl nativ;D;C%;6;400g;1;4,59;6,99;;;;;100g;0,4
3358;4002824150615;LAN;Bio Plus 3 Pflanzl.Aufstrich;D;C%;12;250g;1;1,79;2,69;;;;;100g;0,4
3359;4026913121607;ÖMA;Cottage Cheese 20%F Hüttenkäse;D;DN;6;200g;1;1,09;1,65;;;;;100g;0,5
3360;4028108878013;BDH;Gustav, Butendieker Frischkäse;D;DB;6;150g;1;2,32;3,49;;;;;100g;0,667
3361;;BDH;Känosu Butendieker Frisch-Mix;D;DB;6;150g;1;2,25;3,39;;;;;100g;0,667
3365;4028108141063;BDH;Sultans Freude, Frischkäse;D;DB;6;150g;1;2,25;3,39;;;;;100g;0,667
3367;4260041294219;ROG;Roggenburger Frischkäse Natur;D;DK;6;125g;1;1,06;;;;;;100g;0,8
3368;4260041294226;ROG;Roggenburg. Frischkäse Kräuter;D;DK;6;125g;1;1,09;;;;;;100g;0,8
3369;4028108141070;BDH;Sultans Freude mit Datteln;D;DB;6;150g;1;2,25;3,39;;;;;100g;0,667
3371;4028108141117;BDH;Kuno, Butendieker Frischkäse;D;DB;6;150g;1;2,25;3,39;;;;;100g;0,667
3373;4028108141162;BDH;Scharfe Käthe, Frischkäse;D;DB;6;150g;1;2,25;3,39;;;;;100g;0,667
3378;4028332310013;WMF;Bio-Mascarpone 80%F;D;DB;6;250g;1;3,1;4,59;;;;;100g;0,4
3379;;ÖMA;Schwäbischer Ziegenschmaus 45%;D;DB;0,7;kg ....;1;18,98;33,9;;;;;kg;1
3381;4046896202209;VAV;Le Pic Ziegenmischkiste ca440g;F;C%;1;St;1;14,98;27,9;;;;;1kg;2,222
3386;4026913121812;ÖMA;California luftig, Kräuter 65%;D;DN;6;125g;1;0,93;1,55;;;;;100g;0,8
3387;4026913121706;ÖMA;California Frischkäse 70%F;D;DN;7;150g;1;1,04;1,59;;;;;100g;0,667
3388;4026913121751;ÖMA;Kräuter California 70%F;D;DN;7;150g;1;1,12;1,69;;;;;100g;0,667
3391;4250111511902;ANL;Ziegenbert 45%F;D;DB;0,14;kg ....;1;18,48;;;;;;kg;1
3392;4250111511919;ANL;Ziegenbert, Kräuter 45%F;D;DB;0,14;kg ....;1;19,48;;;;;;kg;1
3393;4250111511933;ANL;Ziegenbert, Basilikum 45%F;D;DB;0,14;kg ....;1;19,48;;;;;;kg;1
