Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
2801;4016435001983;SWZ;Sauerkraut Demeter 10kg;D;DD;10;kg;1;1,8;2,99;;;;;;1
2812;4016435001990;SWZ;Sauerkraut Demeter 5kg;D;DD;5;kg;1;2,2;3,49;;;;;;1
2815;4251026502115;ELK;Sauerkraut VON, DEMETER Beutel;D;DD;12;500g;1;1,59;2,39;;;;;1kg;1,923
2816;4260254440106;ELK;Sauerkraut im Glas, Demeter;D;DD;8;410g;1;2,7;3,99;;;;;1kg;1,923
2818;;NKG;10kg Sauerkraut DEMETER;D;DD;10;kg;1;2,25;3,39;;;;;1kg;1,923
2919;4031829234136;ÖKL;Premium Bruscetta-Schinken;D;DB;3;70g;1;3,33;4,99;;;;;100g;1,25
2921;4031829234303;ÖKL;Premium Lachsschinken, luftget;D;DB;3;80g;1;3,33;4,99;;;;;100g;1,25
2922;4031829234402;ÖKL;Premium Lachsschinken, geräuch;D;DB;3;80g;1;3,33;4,99;;;;;100g;1,25
2923;4031829234105;ÖKL;Premium Schinken, luftgetrockn;D;DB;3;80g;1;3,33;4,99;;;;;100g;1,25
2924;4031829234204;ÖKL;Premium Schinken, geräuchert;D;DB;3;80g;1;3,33;4,99;;;;;100g;1,25
2926;4031829234785;ÖKL;Premium-Schinkenwürfel;D;DB;3;80g;1;2,33;3,49;;;;;100g;1,25
2928;4031829234198;ÖKL;Premium Pfeffer-Schinken;D;DB;3;70g;1;3,33;4,99;;;;;100g;1,25
2941;4031829234006;ÖKL;Premium-Bacon, fein geräuchert;D;DB;3;80g;1;2,66;3,99;;;;;100g;1,25
2944;;BFK;Hackfleisch Rind;D;DB;0,3;kg ....;1;14,34;21,5;;;;;kg;1
2946;;BFK;Hackfleisch gemischt (1/2+1/2);D;DB;0,3;kg ....;1;14,34;21,5;;;;;kg;1
2956;4047311126605;BFK;VB Nackenbraten ohne Knochen;D;DB;1;kg ....;1;16,64;24,9;;;;;kg;1
2957;4047311122607;BFK;VB Schnitzelbraten;D;DB;1;kg ....;1;19,3;28,9;;;;;kg;1
2964;4047311115500;BFK;Rinder-Gulasch;D;DB;1;500g;1;8,68;12,9;;;;;1kg;2
2966;4047311112509;BFK;VB Rinder-Rouladen 2x ca 180g;D;DB;0,36;kg ....;1;25;36,9;;;;;kg;1
2967;;BFK;VB Rinderbraten;D;DB;1;kg ....;1;22,23;;;;;;kg;1
2969;4047311122508;BFK;VB Schweineschnitzel 2x175g;D;DB;0,3;kg ....;1;20,08;29,9;;;;;kg;1
2970;;BFK;VB Rinderbraten;D;DB;2;kg ....;1;22,23;32,9;;;;;kg;1
2971;;BFK;VB Rinderbraten;D;DB;3;kg ....;1;22,23;32,9;;;;;kg;1
2973;;BFK;VB Tafelspitz;D;DB;2;kg ....;1;22,23;32,9;;;;;kg;1
2974;4047311121006;BFK;VB Minutensteak 3x ca.85g;D;DB;0,25;kg ....;1;21,88;32,8;;;;;kg;1
2975;4047311123505;BFK;VB Schweinekrusten-Braten;D;DB;1;kg ....;1;16,64;24,9;;;;;kg;1
2977;4047311111007;BFK;VB Rumpsteak/Roastbeef 2 St;D;DB;0,25;kg ....;1;37,85;56,5;;;;;kg;1
2979;4047311121501;BFK;VB Nackensteak natur 2 St;D;DB;0,3;kg ....;1;17,71;26,5;;;;;kg;1
2982;4047311121600;BFK;VB Mexico-Grill-Steak 2 St;D;DB;0,25;kg ....;1;19,07;28,6;;;;;kg;1
2983;4047311121655;BFK;VB Kräuter-Grill-Steak, 2 Stüc;D;DB;0,25;kg ....;1;19,07;28,6;;;;;kg;1
2984;4047311121105;BFK;VB Rückensteak Barbecue 2 St;D;DB;0,2;kg ....;1;22;33;;;;;kg;1
2986;4047311111601;BFK;VB Rinder-Grill-Steak Texas 2S;D;DB;0,2;kg ....;1;27,27;40,9;;;;;kg;1
3002;4017194001115;ELK;Demeter Vollmilch 3,8%;D;DD;6;1l;1;1,14;1,49;18;1,12;30;1,1;;1
3003;4008471520092;ELK;Bioland-Vollmilch 3,7%;D;DB;6;1l;1;1,06;1,39;18;1,05;30;1,04;;1
3005;4008471520108;ELK;FETTARME Milch 1,5%;D;DB;6;1l;1;1;1,29;18;0,98;30;0,97;;1
3009;4101530003588;BGL;Laktosefreie Frisch-Milch 1,5%;D;DN;12;1l;1;1,11;1,59;;;;;;1
3012;4101530003274;BGL;1,5% länger haltbare Bio-Milch;D;DN;10;1l;1;0,96;1,29;;;;;;1
3013;4101530003212;BGL;länger haltbare Bio-Vollmilch;D;DN;10;1l;1;1,05;1,39;;;;;;1
3015;4026367000152;UBM;Upländer Tetrapack Vollmilch;D;DB;10;1l;1;0,99;1,29;30;0,98;;;;1
3016;4026367000138;UBM;VB Upländer 10L Milch-Beutel;D;DB;10;l;1;0,96;1,12;;;;;;1
